rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta0,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split0_train_score
19,-0.3324834078851192,0.0,-1.0001853250403618,0.0,3.524932384490967,0.0,0.012515544891357422,0.0,0.075,0.014,0.25,l2,"{'model__alpha': 0.075, 'model__eta0': 0.014, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3324834078851192,-1.0001853250403618
22,-0.332484263752228,0.0,-1.000213866595869,0.0,3.4844298362731934,0.0,0.012690544128417969,0.0,0.08,0.014,0.15,l2,"{'model__alpha': 0.08, 'model__eta0': 0.014, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.332484263752228,-1.000213866595869
22,-0.332484263752228,0.0,-1.000213866595869,0.0,3.4892570972442627,0.0,0.012966632843017578,0.0,0.08,0.014,0.2,l2,"{'model__alpha': 0.08, 'model__eta0': 0.014, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.332484263752228,-1.000213866595869
22,-0.332484263752228,0.0,-1.000213866595869,0.0,3.78576922416687,0.0,0.01227879524230957,0.0,0.08,0.014,0.25,l2,"{'model__alpha': 0.08, 'model__eta0': 0.014, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.332484263752228,-1.000213866595869
25,-0.332488577225841,0.0,-1.0004818636993487,0.0,3.43053936958313,0.0,0.016246795654296875,0.0,0.065,0.015,0.15,l2,"{'model__alpha': 0.065, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.332488577225841,-1.0004818636993487
25,-0.332488577225841,0.0,-1.0004818636993487,0.0,3.511746406555176,0.0,0.012987613677978516,0.0,0.065,0.015,0.2,l2,"{'model__alpha': 0.065, 'model__eta0': 0.015, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.332488577225841,-1.0004818636993487
25,-0.332488577225841,0.0,-1.0004818636993487,0.0,4.598002195358276,0.0,0.012249946594238281,0.0,0.065,0.015,0.25,l2,"{'model__alpha': 0.065, 'model__eta0': 0.015, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.332488577225841,-1.0004818636993487
28,-0.33248952807508575,0.0,-0.9995800171539932,0.0,3.4547173976898193,0.0,0.012269973754882812,0.0,0.08,0.012,0.15,l2,"{'model__alpha': 0.08, 'model__eta0': 0.012, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.33248952807508575,-0.9995800171539932
28,-0.33248952807508575,0.0,-0.9995800171539932,0.0,4.3071112632751465,0.0,0.013540267944335938,0.0,0.08,0.012,0.2,l2,"{'model__alpha': 0.08, 'model__eta0': 0.012, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.33248952807508575,-0.9995800171539932
28,-0.33248952807508575,0.0,-0.9995800171539932,0.0,3.4990909099578857,0.0,0.012237071990966797,0.0,0.08,0.012,0.25,l2,"{'model__alpha': 0.08, 'model__eta0': 0.012, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.33248952807508575,-0.9995800171539932
31,-0.3324899692788104,0.0,-1.0005145893381215,0.0,3.48382568359375,0.0,0.01617574691772461,0.0,0.07,0.015,0.15,l2,"{'model__alpha': 0.07, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3324899692788104,-1.0005145893381215
31,-0.3324899692788104,0.0,-1.0005145893381215,0.0,3.8962645530700684,0.0,0.013108253479003906,0.0,0.07,0.015,0.2,l2,"{'model__alpha': 0.07, 'model__eta0': 0.015, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3324899692788104,-1.0005145893381215
31,-0.3324899692788104,0.0,-1.0005145893381215,0.0,3.49711275100708,0.0,0.01527547836303711,0.0,0.07,0.015,0.25,l2,"{'model__alpha': 0.07, 'model__eta0': 0.015, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3324899692788104,-1.0005145893381215
34,-0.33249041988120115,0.0,-0.9995529229774021,0.0,4.041975259780884,0.0,0.012423515319824219,0.0,0.075,0.012,0.15,l2,"{'model__alpha': 0.075, 'model__eta0': 0.012, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.33249041988120115,-0.9995529229774021
34,-0.33249041988120115,0.0,-0.9995529229774021,0.0,3.4803247451782227,0.0,0.013026237487792969,0.0,0.075,0.012,0.2,l2,"{'model__alpha': 0.075, 'model__eta0': 0.012, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.33249041988120115,-0.9995529229774021
34,-0.33249041988120115,0.0,-0.9995529229774021,0.0,5.093657970428467,0.0,0.012506723403930664,0.0,0.075,0.012,0.25,l2,"{'model__alpha': 0.075, 'model__eta0': 0.012, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.33249041988120115,-0.9995529229774021
